,condition,sample_num,mean_tissue,mean_edges,mean_interiors,mean_edges_minus_interiors
0,TJ,01,10.815266025888087,19.21457902130454,7.2336617885223315,11.98091723278221
1,TJ,02,9.403400425633086,17.50680603021761,6.059199650511078,11.447606379706531
2,TJ,03,15.981570180679881,28.716995303283696,10.494061557708347,18.222933745575347
3,TJ,04,10.643109921522624,19.71964341435596,7.104411735295883,12.615231679060077
4,TJ,05,12.063054160570982,20.665231003601292,7.180733830845771,13.484497172755521
5,TJ,06,12.166360782460181,20.679778307648814,7.8831214228696345,12.796656884779178
6,TJ,07,13.713054164061809,27.19110542906497,8.139282547922935,19.051822881142034
7,TJ,08,12.012149373831246,21.5168660193997,8.045232460771107,13.471633558628593
8,TJ,09,12.040189885711177,21.102410436204327,8.137487986819826,12.9649224493845
9,TJ,10,16.275979848357967,30.515589949779947,10.68714713697894,19.828442812801008
10,TJ,11,14.418259635268432,24.54545075081656,10.15527856940204,14.39017218141452
11,TJ,12,13.551008121597244,24.782296299529058,8.822621154895891,15.959675144633167
12,TJ_abiRNAi,01,7.038837831367937,8.467209496247609,6.4911727549709655,1.9760367412766433
13,TJ_abiRNAi,02,7.0239525299728225,10.286691498816644,5.769006594412156,4.517684904404488
14,TJ_abiRNAi,03,5.605380821461835,6.226697694097736,5.306415057804613,0.9202826362931233
15,TJ_abiRNAi,04,4.617687169617431,4.742402041188263,4.573077800253848,0.16932424093441512
16,TJ_abiRNAi,05,7.132496866441235,9.403015683571752,6.291367592923187,3.111648090648565
17,TJ_abiRNAi,06,6.78074742078801,8.102744048807065,6.367993750523115,1.7347502982839496
18,TJ_abiRNAi,07,6.811982572310412,6.687634292022315,6.86378183372889,-0.17614754170657498
19,TJ_abiRNAi,08,5.943345811319014,6.620106583566245,5.672936657905913,0.9471699256603321
20,TJ_abiRNAi,09,6.3149773640120666,8.06130649345583,5.699898559630943,2.3614079338248866
21,TJ_abiRNAi,10,5.5505974903088315,6.135654756993151,5.378683996947416,0.7569707600457356
22,TJ_fat2N1032,01,5.330202983002948,7.637822238359354,4.54331130951596,3.0945109288433947
23,TJ_fat2N1032,02,5.479378491292306,6.730502817010111,5.010555820015113,1.7199469969949979
24,TJ_fat2N1032,03,7.92904079321805,9.695355680896418,7.332035661780944,2.3633200191154735
25,TJ_fat2N1032,04,7.753703360227519,8.725480395758185,7.341781436439485,1.3836989593187
26,TJ_fat2N1032,05,6.021270511693797,8.42371232278305,4.938405076423259,3.485307246359791
27,TJ_fat2N1032,06,6.624233021957669,9.479341302154776,5.49393697336817,3.985404328786606
28,TJ_fat2N1032,07,10.459527679698281,15.2498941774057,8.957025149995891,6.292869027409809
29,TJ_fat2N1032,08,6.504011882360404,8.892350534212321,5.664940126669914,3.227410407542407
30,TJ_fat2N1032,09,8.169952763634132,10.542546750307698,7.295387669667625,3.247159080640073
31,TJ_fat2N1032,10,8.808439943053907,12.41489431136887,7.334161687537591,5.080732623831279
32,TJ_fat2N1032,11,8.97887817062592,10.663111972855065,8.53112829333809,2.131983679516974
33,TJ_fat2N1032,12,5.925806047384564,7.68074323303956,5.375927915186198,2.304815317853362
34,TJ_fat2N1032,13,6.857913293485662,10.18091025742934,5.500704675125607,4.680205582303734
