,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,1.75,0.75,3.5
1,0.06889,1.4888,0.73959,3.5112
2,0.13779,2.3943,0.74861,4.4561
3,0.20668,4.7461,0.96982,3.4123
4,0.27558,3.5282,1.70514,2.1228
5,0.34447,5.5584,2.04798,3.7413
6,0.41337,10.2958,1.63735,3.8832
7,0.48226,11.3114,0.75566,4.6805
8,0.55116,17.9434,1.07057,4.7473
9,0.62005,22.4445,2.31868,3.0
10,0.68894,27.39,3.21504,6.5384
11,0.75784,33.6257,4.34739,11.4393
12,0.82673,35.1085,5.62153,14.9506
13,0.89563,47.2214,6.58418,20.0691
14,0.96452,46.5182,6.8318,20.7956
15,1.03342,30.3297,6.22946,25.7872
16,1.10231,16.516,6.30633,32.8814
17,1.17121,10.7657,6.98074,34.1781
18,1.2401,14.4924,3.76275,36.8437
19,1.309,12.4276,3.54531,44.1193
20,1.37789,3.5338,3.81881,41.6811
21,1.44678,2.7523,2.79607,45.2943
22,1.51568,3.5524,4.15441,36.9291
23,1.58457,4.9227,3.61958,30.4569
24,1.65347,1.8585,2.44977,21.8244
25,1.72236,0.3555,2.2312,13.5476
26,1.79126,2.3923,2.3437,12.3037
27,1.86015,4.9617,2.29314,9.6246
28,1.92905,2.7219,0.91556,10.0897
29,1.99794,0.341,2.81181,4.8472
30,2.06683,1.5621,1.93703,5.1145
31,2.13573,0.7779,2.16669,5.9166
